ID; A.X; A.Y; B.X; B.Y; A; L
14782;492361;5217525;493661;5216125;137;1910;
19365;492386;5217500;493636;5216125;137;1858;
31148;492361;5217525;493636;5216175;136;1856;
33788;492361;5217525;493636;5216175;136;1856;
56348;492361;5217525;493636;5216175;136;1856;
58987;492361;5217525;493636;5216175;136;1856;
21562;492361;5217525;493611;5216175;137;1839;
23814;492361;5217525;493611;5216200;136;1821;
4665;492361;5217500;493636;5216200;135;1820;
2059;492386;5217500;493586;5216225;136;1750;
6954;482136;5209625;483161;5211025;36;1735;
48122;487361;5205850;488136;5207375;26;1710;
10029;479986;5213925;480611;5215500;21;1694;
44251;478386;5218600;478411;5216975;179;1625;
10176;478386;5218600;478411;5217000;179;1600;
39439;478386;5218600;478411;5217000;179;1600;
7559;478386;5218600;478411;5217025;179;1575;
34191;478386;5218600;478411;5217025;179;1575;
36865;478386;5218600;478411;5217025;179;1575;
12652;478411;5216950;478411;5218525;0;1575;
4879;478386;5218600;478411;5217050;179;1550;
31530;478386;5218600;478411;5217050;179;1550;
59392;478386;5218600;478411;5217050;179;1550;
56703;478386;5218600;478411;5217075;179;1525;
46768;478411;5216950;478411;5218475;0;1525;
4695;479436;5217325;479736;5218800;11;1505;
28838;478386;5218575;478411;5217075;179;1500;
54061;478386;5218600;478411;5217100;179;1500;
4528;480036;5214025;480561;5215425;20;1495;
9047;486886;5204475;487361;5205850;19;1454;
805;474236;5200625;475361;5201525;51;1440;
16536;481986;5209500;482886;5210625;38;1440;
48409;481961;5209475;482861;5210575;39;1421;
7354;480036;5214125;480561;5215425;21;1402;
46563;480036;5214150;480586;5215425;23;1388;
36425;480061;5214175;480586;5215450;22;1378;
44156;480036;5214125;480561;5215400;22;1378;
41650;492336;5217550;493261;5216550;137;1362;
51464;492336;5217550;493261;5216550;137;1362;
54050;492336;5217550;493261;5216550;137;1362;
56328;488961;5214750;489011;5213400;177;1350;
4779;478161;5218325;478186;5216975;178;1350;
31413;478136;5216550;478136;5217900;0;1350;
1931;479811;5214625;480411;5215825;26;1341;
18781;482011;5209550;482861;5210575;39;1331;
28551;488961;5214725;489011;5213400;177;1325;
59007;488961;5214750;489011;5213425;177;1325;
40967;483811;5209425;484411;5208250;152;1319;
31132;488961;5214725;489011;5213425;177;1300;
36792;491211;5213825;491236;5215125;1;1300;
56276;475136;5213950;475161;5215250;1;1300;
27451;475186;5204025;475686;5202825;157;1300;
37079;484036;5193425;484036;5194725;0;1300;
39180;480086;5214250;480586;5215450;22;1300;
23085;483836;5209400;484411;5208250;153;1285;
26034;488961;5214725;489036;5213450;176;1277;
