ID; A.X; A.Y; B.X; B.Y; A; L
742;476914;5204526;478873;5208528;26;4455;
2279;476914;5204526;478873;5208528;26;4455;
2585;476914;5204526;478873;5208528;26;4455;
562;476914;5204526;478809;5208402;26;4313;
2751;476978;5204652;478873;5208528;26;4313;
237;477140;5205125;479097;5208811;27;4172;
2114;476914;5204526;478745;5208276;26;4172;
397;476914;5204526;478680;5208150;25;4031;
266;486719;5208974;488517;5212502;27;3959;
310;480113;5192738;481942;5196171;28;3889;
141;480208;5192769;481942;5196171;27;3818;
3413;479014;5214567;480179;5218100;18;3720;
415;487299;5210424;489221;5213572;31;3687;
2773;473279;5208918;475074;5212130;29;3679;
1902;483345;5201884;485989;5204426;46;3667;
2423;474876;5206914;477641;5204552;130;3635;
263;482567;5203630;485086;5206235;44;3623;
1777;482472;5203599;484990;5206204;44;3623;
2029;480241;5192990;481942;5196171;28;3606;
2183;480241;5192990;481942;5196171;28;3606;
1864;479014;5214567;480115;5217974;17;3580;
1483;486212;5200503;489426;5199024;114;3538;
2053;491362;5199863;493093;5202949;29;3538;
2213;491362;5199863;493093;5202949;29;3538;
2319;490146;5214609;491877;5217695;29;3538;
2520;491362;5199863;493093;5202949;29;3538;
2686;491362;5199863;493093;5202949;29;3538;
1978;482727;5203786;485150;5206361;43;3535;
72;474705;5200970;477315;5203290;48;3492;
1358;486369;5200343;489552;5198959;113;3471;
411;482822;5203817;485150;5206361;42;3448;
2145;482727;5203786;485055;5206330;42;3448;
3454;483504;5202041;485989;5204426;46;3443;
1899;491362;5199863;493029;5202823;29;3397;
103;480621;5209621;483167;5211816;49;3361;
2015;479111;5214914;480179;5218100;18;3360;
2270;487344;5203815;488664;5206872;23;3330;
2839;491331;5199958;493029;5202823;30;3330;
1765;487332;5202234;489909;5200127;129;3328;
290;479423;5214279;481151;5217049;31;3264;
462;479423;5214279;481151;5217049;31;3264;
3329;482567;5203630;484862;5205952;44;3264;
1746;491362;5199863;492965;5202697;29;3255;
2736;475525;5204916;477442;5207432;37;3162;
617;479423;5214279;481087;5216923;32;3124;
202;487442;5204162;488728;5206998;24;3114;
2601;487841;5211021;489254;5213793;27;3111;
3187;477491;5205660;478904;5208433;27;3111;
2606;490961;5213717;493065;5215978;42;3088;
1575;480842;5218000;481104;5214930;175;3080;
2710;487249;5203784;488440;5206589;23;3047;
2869;486747;5204357;488065;5207098;25;3041;
1970;486451;5215301;487663;5212540;156;3014;
2609;480844;5209904;483167;5211816;50;3008;
34;491514;5199071;493240;5201525;35;3000;
592;490433;5215018;491908;5217600;29;2973;
3300;491490;5200115;492965;5202697;29;2973;
3458;491426;5199989;492900;5202571;29;2973;
614;473726;5209484;475074;5212130;27;2969;
710;487102;5205208;488450;5207854;27;2969;
942;475284;5194008;476633;5196654;27;2969;
1807;477782;5206385;479130;5209032;27;2969;
2152;490626;5215396;491974;5218042;27;2969;
3364;477782;5206385;479130;5209032;27;2969;
3473;483395;5200113;485152;5202471;36;2941;
379;480176;5205166;482841;5206347;66;2915;
2252;480081;5205135;482746;5206316;66;2915;
3387;490721;5215427;491974;5218042;25;2900;
566;475780;5205104;477442;5207432;35;2860;
1866;477868;5213563;478774;5216276;18;2860;
3260;478950;5214441;479856;5217153;18;2860;
513;491426;5199989;492836;5202445;29;2831;
724;484479;5205512;485889;5207968;29;2831;
2484;480144;5192643;481302;5195227;24;2831;
2235;483651;5200617;485470;5202785;39;2830;
691;487185;5203658;488469;5206178;27;2828;
1987;490690;5215522;491974;5218042;27;2828;
2729;487230;5205460;488514;5207980;27;2828;
2988;485701;5199811;488221;5198527;117;2828;
3142;485701;5199811;488221;5198527;117;2828;
3527;486482;5215206;487632;5212635;155;2816;
183;483459;5200239;485152;5202471;37;2801;
2836;491642;5199323;493335;5201555;37;2801;
3485;483045;5204100;484895;5206173;41;2778;
2621;490338;5214987;491779;5217348;31;2765;
2772;490402;5215113;491843;5217474;31;2765;
1830;490754;5215648;492069;5218073;28;2758;
3360;477026;5206771;478341;5209196;28;2758;
590;480664;5211107;481158;5213791;10;2729;
468;477965;5213911;478807;5216497;18;2720;
745;475780;5205104;477377;5207306;35;2720;
