ID; A.X; A.Y; B.X; B.Y; A; L
353;474586;5192600;492386;5192600;90;17800;
388;474586;5192600;492186;5192600;90;17600;
539;474386;5192600;491186;5192800;89;16801;
907;474186;5192600;490786;5192400;90;16601;
582;475186;5192600;490386;5192600;90;15200;
628;477386;5192400;489986;5192800;88;12606;
496;477986;5218400;489386;5218000;92;11407;
0;478586;5192600;489986;5192800;88;11401;
37;478586;5218400;489786;5218000;92;11207;
269;479186;5218400;490386;5218000;92;11207;
186;474586;5192600;485786;5192800;88;11201;
796;478786;5192600;489986;5192800;88;11201;
423;481186;5192800;492186;5192400;92;11007;
704;479386;5218400;490386;5218000;92;11007;
460;481386;5192800;492186;5192400;92;10807;
832;478586;5218400;489386;5218000;92;10807;
497;481586;5192800;491986;5192400;92;10407;
581;477986;5218400;488386;5218200;91;10401;
865;474986;5192800;485186;5192400;92;10207;
933;476386;5218200;486586;5218200;90;10200;
236;474986;5192400;484986;5192400;90;10000;
794;478586;5218400;488586;5218400;90;10000;
835;475586;5192400;485186;5192400;90;9600;
752;474986;5192400;484186;5192400;90;9200;
863;479586;5218400;488786;5218400;90;9200;
274;481386;5192800;490186;5192400;92;8809;
315;481386;5192800;490186;5192400;92;8809;
706;475186;5192400;483986;5192400;90;8800;
672;477186;5192400;485186;5192400;90;8000;
747;480386;5218400;488386;5218400;90;8000;
386;484186;5218000;491986;5218600;85;7823;
944;483586;5192800;491186;5192400;93;7610;
40;476986;5192400;484386;5192800;86;7410;
498;474186;5192400;481586;5192800;86;7410;
140;477986;5192800;485386;5192800;90;7400;
461;474186;5192400;481386;5192800;86;7211;
553;491586;5202600;491986;5209800;3;7211;
983;479386;5218400;486586;5218000;93;7211;
424;474186;5192400;481186;5192800;86;7011;
91;477986;5192800;484986;5192800;90;7000;
237;484986;5192400;491786;5192800;86;6811;
538;478186;5218400;484986;5218000;93;6811;
904;480186;5218400;486986;5218000;93;6811;
673;485186;5192400;491786;5192800;86;6612;
834;485186;5192400;491786;5192800;86;6612;
866;485186;5192400;491786;5192800;86;6612;
943;476986;5192400;483586;5192800;86;6612;
272;474586;5192600;480986;5192600;90;6400;
313;474586;5192600;480986;5192600;90;6400;
751;484186;5192400;490386;5192800;86;6212;
296;485386;5207200;488386;5212600;29;6177;
707;483986;5192400;489786;5192800;86;5813;
833;474186;5218400;479986;5218000;93;5813;
385;476186;5218000;481986;5218000;90;5800;
421;476186;5218000;481986;5218000;90;5800;
603;491786;5205200;491786;5211000;0;5800;
41;484386;5192800;489986;5192600;92;5603;
456;484386;5218000;489786;5218000;90;5400;
209;486586;5206600;489386;5211200;31;5385;
574;488186;5194200;490786;5198800;29;5283;
452;489386;5206400;490186;5211600;8;5261;
491;489386;5206400;490186;5211600;8;5261;
812;475786;5201600;479586;5205200;46;5234;
132;489186;5213400;491986;5217800;32;5215;
934;488386;5194000;490786;5198600;27;5188;
178;489186;5213200;491786;5217600;30;5110;
9;478186;5194200;481786;5197800;45;5091;
92;484986;5192800;489986;5192600;92;5004;
419;484386;5218000;489386;5218200;87;5004;
167;478186;5199600;481586;5203200;43;4951;
953;482586;5201000;485986;5204600;43;4951;
849;480986;5215200;483786;5211200;145;4882;
967;486986;5206400;488586;5211000;19;4870;
185;485786;5192800;490586;5192200;97;4837;
221;485586;5208000;487986;5212200;29;4837;
87;474586;5218000;479386;5218400;85;4816;
146;478386;5194200;481586;5197800;41;4816;
322;478186;5194200;481586;5197600;45;4808;
429;488186;5198400;491586;5195000;135;4808;
348;484186;5218000;488986;5218200;87;4804;
183;474186;5218200;478986;5218200;90;4800;
235;474186;5218200;478986;5218200;90;4800;
303;489586;5214000;492186;5218000;33;4770;
662;475986;5205800;478186;5210000;27;4741;
736;475986;5205800;478186;5210000;27;4741;
772;475986;5205800;478186;5210000;27;4741;
970;488586;5194400;490786;5198600;27;4741;
212;478786;5212400;482186;5215600;46;4669;
302;478786;5212400;482186;5215600;46;4669;
562;482586;5201000;485786;5204400;43;4669;
228;489386;5213600;491786;5217600;30;4664;
