ID; A.X; A.Y; B.X; B.Y; A; L
1426;485624;5198157;488093;5198548;81;2500;
13930;477903;5211109;478258;5213342;9;2261;
2157;485673;5198165;487903;5198468;82;2250;
10951;485673;5198165;487903;5198468;82;2250;
7547;477270;5217337;477622;5215114;171;2250;
7762;492357;5201350;492925;5203515;14;2238;
129;492182;5198943;493519;5200724;36;2227;
1107;480388;5209478;481014;5211602;16;2214;
2873;485335;5198061;487451;5198447;79;2150;
11899;481078;5203208;482618;5204667;46;2121;
13424;478804;5217883;478836;5215762;179;2121;
12326;485385;5198069;487451;5198447;79;2100;
10004;481073;5202600;482621;5204010;47;2094;
1099;481386;5210851;481985;5212819;16;2057;
9441;481386;5210851;481985;5212819;16;2057;
10125;481386;5210851;481985;5212819;16;2057;
13868;475565;5211802;476034;5209800;166;2055;
2792;475476;5192551;476738;5194168;37;2051;
8190;477336;5217246;477607;5215213;172;2050;
14698;477336;5217246;477607;5215213;172;2050;
9713;482403;5197394;482724;5195369;171;2050;
13749;478391;5206428;478712;5204403;171;2050;
9234;481023;5202592;482530;5203945;48;2024;
109;485483;5198084;487451;5198447;79;2000;
3507;485483;5198084;487451;5198447;79;2000;
8862;490887;5215747;491200;5213772;171;2000;
1819;480422;5209584;480980;5211495;16;1990;
10604;491818;5208909;493578;5208023;116;1970;
7424;480176;5213696;481338;5212109;143;1967;
13900;480176;5213696;481338;5212109;143;1967;
4720;485533;5198092;487451;5198447;79;1950;
11574;475468;5192600;476697;5194111;39;1947;
1834;481420;5210957;481985;5212819;16;1945;
822;483063;5199625;484234;5201177;37;1944;
12503;481301;5203395;482709;5204732;46;1941;
4833;483989;5202404;485340;5203782;44;1930;
6215;487178;5214552;487623;5212699;166;1905;
11147;481384;5203510;482743;5204839;45;1900;
906;486048;5206982;486346;5205106;171;1900;
9481;490902;5215648;491200;5213772;171;1900;
5826;475951;5194347;476825;5192663;152;1897;
6244;480241;5213605;481388;5212116;142;1879;
6830;480241;5213605;481388;5212116;142;1879;
10767;480241;5213605;481388;5212116;142;1879;
13317;480241;5213605;481388;5212116;142;1879;
10888;475468;5192600;476655;5194054;39;1876;
7848;479348;5200707;479560;5202563;6;1868;
9961;482202;5206019;483828;5206934;60;1866;
8195;484190;5218078;484282;5216220;177;1860;
13399;484205;5217979;484297;5216121;177;1860;
10747;487178;5214552;487616;5212748;166;1856;
4909;479868;5205092;481680;5205480;77;1852;
7622;491167;5195441;492529;5194189;132;1850;
14370;481211;5206520;482657;5205382;128;1839;
1512;483021;5199567;484102;5201055;36;1838;
2241;483063;5199625;484143;5201112;36;1838;
6157;482504;5210825;483991;5209744;126;1838;
3729;491919;5209228;493640;5208590;110;1835;
14588;480054;5213829;481193;5212389;141;1835;
4992;480552;5209402;481869;5210674;46;1830;
7478;492193;5217726;493465;5216409;136;1830;
13815;484643;5205950;485445;5207595;25;1830;
6900;484191;5216155;484205;5217979;0;1824;
4210;484080;5202469;485340;5203782;43;1820;
8462;479340;5200756;479560;5202563;6;1820;
775;491965;5200630;492718;5202268;24;1802;
4299;479917;5205100;481680;5205480;77;1802;
6176;475677;5211414;476058;5209652;167;1802;
6770;475654;5211563;476034;5209800;167;1802;
13277;475654;5211563;476034;5209800;167;1802;
15201;474169;5207834;474549;5206072;167;1802;
1859;490952;5215656;491184;5213870;172;1800;
7915;478422;5206230;478654;5204444;172;1800;
9283;486056;5206933;486338;5205155;171;1800;
10167;490902;5215648;491184;5213870;171;1800;
11643;485673;5198165;487451;5198447;81;1800;
2541;480583;5210166;481123;5211872;17;1788;
7507;481567;5217055;482377;5215462;153;1786;
1358;492401;5195636;493734;5196809;48;1775;
9806;491965;5200630;492669;5202260;23;1775;
3599;487324;5202122;488796;5201140;123;1769;
321;491976;5209187;493640;5208590;109;1767;
1007;482443;5207373;483482;5208803;36;1767;
2909;483104;5199682;484143;5201112;36;1767;
12144;479814;5213740;480575;5215329;25;1761;
7702;485385;5198069;485609;5196332;172;1750;
1040;474195;5207990;474468;5206262;171;1750;
1288;477317;5217040;477591;5215312;171;1750;
5686;492160;5217619;493416;5216401;134;1750;
5815;480772;5194908;481046;5193180;171;1750;
8724;484530;5212412;484804;5210683;171;1750;
8903;477317;5217040;477591;5215312;171;1750;
13267;472836;5211774;473110;5210046;171;1750;
1057;490241;5212152;490789;5213808;18;1744;
2762;491817;5194531;493533;5194246;99;1739;
8100;474713;5211110;475646;5212574;32;1735;
12810;478751;5213420;479856;5214759;39;1735;
6265;486000;5216239;487422;5215249;124;1732;
9004;476772;5193313;477762;5194735;34;1732;
792;479332;5200806;479568;5202513;7;1724;
8897;482712;5216224;483224;5214584;162;1718;
2991;484080;5202469;485249;5203717;43;1710;
11414;480334;5213974;481160;5215472;28;1710;
14693;484190;5218078;484307;5216376;176;1706;
6687;474184;5207736;474549;5206072;167;1702;
14096;491167;5195441;492457;5194329;130;1702;
6743;484473;5212453;484788;5210782;169;1700;
14154;485385;5198069;485601;5196382;172;1700;
2884;485257;5198555;486936;5198821;81;1700;
3586;486768;5201477;488375;5200922;109;1700;
14523;484530;5212412;484796;5210733;171;1700;
8500;483021;5199567;484019;5200940;36;1697;
9173;483021;5199567;484019;5200940;36;1697;
9854;483021;5199567;484019;5200940;36;1697;
11079;483021;5199567;484019;5200940;36;1697;
12016;491853;5212205;492850;5213578;36;1697;
14861;482714;5194153;483948;5195310;46;1691;
735;492498;5200461;493675;5201660;44;1680;
10178;480384;5213982;481160;5215472;27;1680;
2620;480293;5213917;481126;5215366;29;1671;
6923;478788;5217982;478799;5216313;179;1668;
13480;491297;5195259;492579;5194196;129;1665;
2545;491894;5212262;492900;5213585;37;1662;
10261;479447;5215100;480453;5216423;37;1662;
7388;475677;5211414;476034;5209800;167;1653;
115;485257;5198555;486879;5198862;79;1650;
4731;485257;5198555;486879;5198862;79;1650;
5106;479890;5213904;480617;5215386;26;1650;
7382;476106;5211584;476414;5209962;169;1650;
8690;474169;5207834;474476;5206213;169;1650;
12766;479890;5213904;480617;5215386;26;1650;
1796;484512;5212206;484770;5210577;171;1650;
8038;484538;5212362;484796;5210733;171;1650;
13861;484530;5212412;484788;5210782;171;1650;
11539;491916;5194547;493533;5194246;100;1644;
12675;476463;5210931;477907;5211717;61;1644;
6075;491504;5208656;492944;5207872;118;1640;
5466;477087;5203791;478146;5202541;139;1637;
14006;480863;5216387;480959;5218022;3;1637;
9898;480169;5201596;480420;5203205;8;1628;
