ID; A.X; A.Y; B.X; B.Y; A; L
1297;473886;5192300;490536;5192300;90;16650;
1640;477786;5192450;490986;5192150;91;13203;
1224;477336;5192300;490536;5192300;90;13200;
1015;477336;5192300;489786;5192450;89;12450;
144;478386;5192300;489636;5192150;90;11251;
1441;473736;5192150;484386;5192450;88;10654;
1171;481236;5192450;490986;5192000;92;9760;
1;481086;5192450;490236;5192450;90;9150;
365;481086;5192450;490236;5192450;90;9150;
1367;481086;5192450;490236;5192450;90;9150;
1096;481086;5192450;490086;5192450;90;9000;
1572;483186;5192450;491136;5192150;92;7955;
1506;476436;5192150;484236;5192450;87;7805;
1507;484236;5192450;491286;5192150;92;7056;
73;483036;5192150;489936;5192300;88;6901;
936;477336;5192300;483786;5192150;91;6451;
643;485136;5192300;491436;5192450;88;6301;
1442;484386;5192450;490686;5192300;91;6301;
861;477336;5192300;483486;5192000;92;6157;
427;485286;5192300;491436;5192450;88;6151;
507;485286;5192300;491436;5192450;88;6151;
578;485286;5192300;491436;5192450;88;6151;
709;477486;5192300;483336;5192000;92;5857;
935;484236;5192450;490086;5192300;91;5851;
227;485286;5192300;490986;5192150;91;5701;
288;485286;5192300;490986;5192150;91;5701;
1687;477036;5204750;479586;5209700;27;5568;
860;484386;5192300;489936;5192300;90;5550;
1324;474486;5200250;478236;5204300;42;5519;
244;474486;5200400;478386;5204300;45;5515;
1248;474486;5200550;478386;5204300;46;5410;
1041;477186;5205050;479736;5209700;28;5303;
776;481986;5218550;487236;5218250;93;5258;
1571;477936;5192300;483186;5192450;88;5252;
1712;480636;5218400;485886;5218250;91;5252;
1117;474486;5200550;478236;5204150;46;5198;
97;476886;5204600;479436;5209100;29;5172;
1047;479286;5206400;479736;5201300;174;5119;
72;477936;5192450;483036;5192150;93;5108;
699;482886;5215100;485886;5211050;143;5040;
1340;486036;5208500;488736;5212700;32;4993;
317;474486;5200400;477936;5204000;43;4986;
457;474636;5200550;478086;5204150;43;4986;
707;485136;5192300;490086;5192000;93;4959;
