ID; A.X; A.Y; B.X; B.Y; A; L
25964;-490409;-1314515;-486884;-1319765;146;6323;
28133;-490259;-1314740;-486809;-1319840;145;6157;
44171;-490334;-1314740;-486959;-1319690;145;5991;
19194;-490484;-1314440;-487184;-1319390;146;5949;
21408;-490484;-1314440;-487184;-1319390;146;5949;
23702;-490484;-1314440;-487184;-1319390;146;5949;
39718;-490484;-1314440;-487184;-1319390;146;5949;
41907;-490484;-1314440;-487184;-1319390;146;5949;
17086;-490484;-1314515;-487184;-1319390;145;5886;
32292;-490484;-1314515;-487184;-1319390;145;5886;
46398;-490259;-1314815;-487259;-1319315;146;5408;
15150;-490109;-1315040;-487109;-1319465;145;5346;
11430;-474059;-1240265;-468734;-1240490;92;5329;
1991;-490334;-1315865;-487409;-1320140;145;5179;
21306;-491759;-1318265;-489134;-1322615;148;5080;
1955;-491309;-1319090;-488759;-1323065;147;4722;
28082;-491309;-1319090;-488759;-1323065;147;4722;
37889;-488834;-1321490;-485834;-1324940;138;4571;
19178;-490259;-1316240;-487559;-1319915;143;4560;
9053;-503234;-1255490;-503159;-1259990;179;4500;
28121;-490334;-1315865;-487859;-1319540;146;4430;
11540;-488759;-1321640;-485834;-1324940;138;4409;
32073;-471059;-1329065;-466859;-1330265;105;4368;
21374;-490184;-1316315;-487634;-1319840;144;4350;
6564;-483434;-1275140;-483434;-1270790;0;4350;
34809;-483434;-1275140;-483434;-1270790;0;4350;
7;-470609;-1329215;-466484;-1330340;105;4275;
9516;-470609;-1329215;-466484;-1330340;105;4275;
14933;-470609;-1329215;-466484;-1330340;105;4275;
11666;-467384;-1309940;-463784;-1312190;122;4245;
39471;-471059;-1329065;-467084;-1330190;105;4131;
24537;-487484;-1271840;-485234;-1275290;146;4118;
18954;-471059;-1329065;-467159;-1330190;106;4059;
21142;-471284;-1328990;-467384;-1330115;106;4059;
41651;-471284;-1328990;-467384;-1330115;106;4059;
24476;-484184;-1275065;-484184;-1271015;0;4050;
45078;-484184;-1275065;-484184;-1271015;0;4050;
26858;-484184;-1274990;-484184;-1271015;0;3975;
47251;-484184;-1274990;-484184;-1271015;0;3975;
13143;-470609;-1329215;-466784;-1330265;105;3966;
37793;-470609;-1329215;-466784;-1330265;105;3966;
7804;-470684;-1321190;-466784;-1321865;99;3957;
33078;-487484;-1271840;-485309;-1275140;146;3952;
188;-488384;-1318865;-485834;-1321865;139;3937;
23926;-486059;-1298615;-484934;-1302365;163;3915;
129;-485009;-1321415;-482084;-1323965;131;3880;
41882;-490109;-1316390;-487859;-1319540;144;3871;
20036;-487484;-1271840;-485384;-1275065;146;3848;
13313;-488384;-1318865;-485909;-1321790;139;3831;
41169;-484184;-1254440;-482534;-1257890;154;3824;
35986;-470609;-1329215;-466934;-1330190;104;3802;
25924;-469559;-1317440;-466559;-1319765;127;3795;
