ID; A.X; A.Y; B.X; B.Y; A; L
12365;-455518;-1207158;-454725;-1209158;158;2151;
10591;-455534;-1207154;-454740;-1209096;157;2098;
18562;-455471;-1207299;-454674;-1209185;157;2047;
12366;-449829;-1221158;-448528;-1219610;40;2022;
19465;-455512;-1207184;-454749;-1209046;157;2012;
20371;-449733;-1221062;-448468;-1219527;39;1988;
11463;-455519;-1207178;-454784;-1209007;158;1971;
20369;-455509;-1207185;-454774;-1208997;157;1955;
880;-455520;-1207161;-454795;-1208962;158;1942;
9682;-455451;-1207365;-454704;-1209132;157;1917;
11465;-449683;-1220996;-448467;-1219527;39;1907;
883;-449746;-1221076;-448542;-1219614;39;1894;
881;-437148;-1224888;-436201;-1223275;30;1869;
2654;-449741;-1221077;-448568;-1219629;39;1863;
14127;-452708;-1200691;-451066;-1201277;109;1744;
7884;-455444;-1207383;-454764;-1208966;156;1722;
13216;-455437;-1207341;-454814;-1208937;158;1712;
6971;-443611;-1219928;-441901;-1219919;89;1709;
3514;-444899;-1218526;-443320;-1219161;111;1701;
10594;-438524;-1221230;-437215;-1222294;129;1687;
18565;-438524;-1221230;-437215;-1222294;129;1687;
19468;-438524;-1221230;-437237;-1222265;128;1651;
2655;-455416;-1207368;-454840;-1208905;159;1641;
882;-454260;-1206439;-453812;-1208018;164;1641;
10596;-449578;-1220881;-448533;-1219617;39;1639;
8779;-455454;-1207346;-454829;-1208850;157;1628;
19466;-458610;-1213506;-457287;-1214443;125;1621;
18569;-440408;-1218370;-439617;-1219780;150;1616;
15928;-449608;-1220919;-448589;-1219667;39;1615;
1763;-455424;-1207373;-454847;-1208823;158;1561;
19469;-455802;-1207470;-455288;-1208939;160;1556;
19472;-449515;-1220820;-448538;-1219621;39;1546;
19471;-438081;-1221100;-436882;-1222061;128;1536;
4389;-437307;-1222289;-435889;-1222860;111;1529;
15045;-450570;-1216632;-449072;-1216325;78;1529;
5256;-444819;-1218546;-443414;-1219144;113;1526;
9686;-440353;-1218470;-439601;-1219799;150;1526;
6976;-441314;-1202678;-439998;-1203428;119;1515;
20379;-450304;-1221861;-450086;-1223356;171;1510;
15929;-450705;-1216615;-449218;-1216364;80;1508;
8791;-449818;-1208609;-448748;-1209668;134;1504;
12377;-436456;-1219579;-435635;-1218323;33;1500;
13218;-454186;-1206811;-453731;-1208239;162;1498;
3520;-450527;-1216623;-449061;-1216325;78;1495;
14119;-444842;-1203895;-443368;-1204135;99;1493;
14123;-440243;-1218682;-439512;-1219952;150;1465;
16772;-440793;-1202541;-439532;-1203281;120;1461;
9693;-458522;-1208181;-458208;-1209608;167;1461;
890;-436443;-1219585;-435649;-1218359;32;1460;
14131;-437742;-1222762;-436879;-1223933;143;1454;
3519;-443789;-1224027;-443167;-1222716;25;1451;
20381;-445777;-1224430;-445638;-1222992;5;1444;
15939;-442123;-1210354;-441662;-1208990;18;1440;
18579;-458523;-1208172;-458216;-1209576;167;1437;
20370;-437101;-1224839;-436384;-1223599;30;1432;
6098;-446068;-1218186;-444694;-1218584;106;1430;
15050;-437591;-1224829;-436924;-1223568;27;1426;
7892;-446096;-1218180;-444724;-1218567;105;1425;
17637;-452626;-1200714;-451288;-1201200;109;1422;
3511;-445038;-1203864;-443635;-1204091;99;1421;
15038;-457757;-1213924;-456381;-1213572;75;1420;
17644;-438339;-1221362;-437260;-1222283;130;1418;
11477;-449603;-1219529;-448999;-1218246;25;1418;
2674;-436819;-1225120;-436023;-1223948;34;1416;
6988;-441314;-1202282;-440057;-1202932;117;1415;
10593;-437154;-1224963;-436463;-1223735;29;1408;
4396;-457078;-1200679;-455697;-1200960;101;1408;
20380;-454214;-1206696;-453813;-1208045;163;1406;
17645;-440403;-1218387;-439723;-1219617;151;1405;
891;-450291;-1221880;-450102;-1223273;172;1405;
15057;-452537;-1211154;-451176;-1210803;75;1405;
20387;-449616;-1219552;-449024;-1218277;24;1405;
10602;-440409;-1218356;-439734;-1219588;151;1404;
20372;-438447;-1221287;-437350;-1222161;128;1402;
4402;-441296;-1202281;-440056;-1202932;117;1400;
6086;-451345;-1205911;-450155;-1206648;121;1399;
13230;-454999;-1220329;-454189;-1219189;35;1399;
6100;-458973;-1204300;-457601;-1204568;101;1398;
11464;-437090;-1224829;-436404;-1223611;29;1398;
17656;-458897;-1204664;-457524;-1204922;100;1396;
19474;-450302;-1221898;-450083;-1223275;170;1394;
12367;-437113;-1224839;-436417;-1223634;30;1391;
9685;-438033;-1221142;-436953;-1222018;129;1390;
16779;-436187;-1205120;-435003;-1205834;121;1382;
18564;-454057;-1205936;-453739;-1207281;166;1382;
13221;-450259;-1221947;-450092;-1223318;173;1381;
3512;-449561;-1220853;-448688;-1219784;39;1379;
8783;-440257;-1218666;-439567;-1219857;149;1377;
33;-456878;-1214352;-455509;-1214493;95;1376;
19483;-440967;-1213151;-440206;-1214291;146;1370;
14140;-444702;-1218558;-443460;-1219129;114;1367;
15056;-436822;-1225148;-436033;-1224034;35;1364;
20378;-454163;-1214109;-454046;-1212752;4;1362;
11479;-438305;-1221379;-437255;-1222245;129;1360;
3535;-450962;-1220783;-449782;-1220109;60;1359;
17647;-437200;-1222305;-435950;-1222838;113;1358;
8796;-454213;-1206712;-453828;-1208014;163;1357;
6980;-440201;-1219920;-439229;-1220865;134;1355;
1771;-437555;-1224730;-436905;-1223541;28;1354;
6105;-441276;-1202289;-440080;-1202919;117;1352;
11475;-454171;-1214055;-454046;-1212710;5;1351;
32;-458934;-1204668;-457602;-1204891;99;1350;
2658;-449593;-1219469;-448996;-1218259;26;1349;
18585;-454205;-1206733;-453824;-1208023;163;1345;
9695;-449679;-1208726;-448729;-1209677;135;1344;
13219;-449602;-1219496;-449010;-1218289;26;1343;
12373;-449585;-1219480;-449000;-1218271;25;1342;
6977;-438955;-1220577;-437821;-1221293;122;1341;
19482;-454823;-1223069;-453576;-1223561;111;1340;
14137;-437200;-1222321;-435960;-1222830;112;1340;
26;-441237;-1202300;-440057;-1202932;118;1339;
10620;-448732;-1224298;-448097;-1223122;28;1336;
19492;-458502;-1208233;-458224;-1209540;167;1336;
15940;-438552;-1220809;-437457;-1221574;124;1336;
15935;-454403;-1223251;-453168;-1223760;112;1335;
13237;-442044;-1210165;-441669;-1208883;16;1335;
908;-436791;-1225114;-436069;-1223991;32;1334;
6985;-435823;-1222967;-435145;-1224116;149;1334;
14128;-452562;-1211434;-451245;-1211230;81;1332;
19464;-446252;-1208549;-445460;-1209621;143;1332;
37;-458253;-1217112;-457398;-1218133;140;1332;
1779;-436809;-1225130;-436070;-1224023;33;1330;
15946;-449771;-1220562;-448871;-1219583;42;1329;
5276;-449561;-1225578;-448421;-1224895;59;1329;
2690;-452537;-1211154;-451248;-1210840;76;1327;
6090;-452424;-1211456;-451120;-1211206;79;1327;
7898;-441235;-1202325;-440056;-1202933;117;1326;
12368;-454212;-1206617;-453843;-1207890;163;1324;
10608;-454159;-1213984;-454051;-1212664;4;1324;
3513;-440934;-1202461;-439789;-1203125;120;1324;
5254;-440301;-1202798;-439189;-1203513;122;1321;
8790;-438320;-1221376;-437329;-1222249;131;1321;
20385;-450750;-1204096;-450502;-1202801;10;1318;
4392;-449101;-1224944;-448028;-1224177;54;1318;
12371;-450835;-1218408;-449750;-1217659;55;1318;
7894;-440302;-1218556;-439662;-1219708;150;1318;
901;-458479;-1208253;-458250;-1209550;169;1316;
9697;-454206;-1206734;-453833;-1207996;163;1316;
3529;-452540;-1211141;-451255;-1210858;77;1315;
17652;-449696;-1208679;-448787;-1209627;136;1313;
15938;-436788;-1225072;-436012;-1224014;36;1312;
3533;-449796;-1220578;-448904;-1219616;42;1311;
18577;-437150;-1222316;-435955;-1222855;114;1311;
6087;-444923;-1219436;-443618;-1219563;95;1310;
4399;-449821;-1220589;-448918;-1219642;43;1308;
29;-449574;-1225592;-448457;-1224913;58;1307;
7899;-457012;-1207420;-455987;-1208230;128;1305;
12372;-454891;-1220171;-454115;-1219122;36;1304;
6982;-457479;-1210610;-456599;-1211573;137;1304;
1773;-450181;-1216563;-448917;-1216240;75;1304;
14134;-438314;-1221380;-437332;-1222238;131;1304;
6109;-449755;-1220538;-448873;-1219582;42;1300;
3536;-450026;-1225084;-448900;-1224436;60;1298;
11484;-436347;-1219470;-435692;-1218350;30;1298;
15962;-436367;-1204676;-435193;-1205228;115;1296;
13245;-436792;-1225115;-436057;-1224049;34;1294;
2657;-457647;-1213907;-456398;-1213565;74;1294;
19489;-436742;-1225083;-436063;-1223980;31;1294;
5253;-450454;-1216580;-449179;-1216352;79;1294;
19479;-448985;-1213045;-448117;-1212085;42;1294;
7003;-452329;-1198099;-451098;-1198493;107;1292;
7885;-454258;-1206493;-453911;-1207736;164;1290;
15054;-454931;-1220242;-454187;-1219187;35;1290;
4386;-445961;-1218225;-444718;-1218575;105;1290;
897;-455040;-1220393;-454296;-1219339;35;1290;
30;-454902;-1207602;-454237;-1208705;148;1288;
19497;-448704;-1224263;-448105;-1223123;27;1287;
13234;-448050;-1210806;-447111;-1209925;46;1287;
17663;-436319;-1207437;-435906;-1208655;161;1286;
4424;-443127;-1222489;-441842;-1222469;89;1285;
8803;-454900;-1211005;-454222;-1212097;148;1285;
9683;-453177;-1204207;-452664;-1205385;156;1284;
911;-450063;-1220230;-449943;-1218951;5;1284;
912;-449604;-1218672;-448885;-1217607;34;1284;
7887;-453152;-1204246;-452636;-1205422;156;1283;
3556;-452991;-1210417;-452290;-1209343;33;1282;
9688;-438285;-1221404;-437308;-1222235;130;1282;
3544;-436304;-1204712;-435135;-1205233;114;1280;
4378;-444848;-1203898;-443585;-1204105;99;1279;
1784;-448014;-1210767;-447080;-1209893;46;1279;
2663;-453598;-1209616;-453403;-1208352;8;1279;
4421;-457404;-1210689;-456545;-1211634;137;1277;
885;-450843;-1218416;-449802;-1217677;54;1276;
10;-457989;-1216924;-457191;-1217921;141;1276;
905;-450749;-1204127;-450506;-1202874;10;1276;
12378;-445781;-1224424;-445666;-1223153;5;1276;
6984;-456986;-1200681;-455739;-1200953;102;1276;
8781;-453167;-1204219;-452661;-1205391;156;1276;
15937;-452411;-1211120;-451172;-1210819;76;1275;
1764;-450714;-1218308;-449668;-1217580;55;1275;
5268;-436867;-1225142;-436119;-1224109;35;1275;
13246;-449647;-1220458;-448808;-1219498;41;1274;
12374;-450290;-1221926;-450107;-1223187;171;1274;
3525;-436822;-1225110;-436093;-1224066;34;1273;
16788;-436845;-1225130;-436087;-1224108;36;1272;
17636;-454258;-1206485;-453920;-1207711;164;1272;
19488;-454195;-1206764;-453838;-1207985;163;1271;
894;-438301;-1221380;-437298;-1222164;128;1271;
886;-445769;-1224317;-445646;-1223052;5;1270;
4407;-444544;-1218630;-443385;-1219148;114;1269;
15039;-455458;-1207277;-455008;-1208464;159;1268;
5261;-436173;-1205149;-435060;-1205757;118;1267;
