ID; A.X; A.Y; B.X; B.Y; A; L
7561;-831762;-1140983;-831588;-1143071;175;2095;
3405;-835267;-1149482;-833247;-1150003;104;2086;
3278;-825808;-1134842;-824107;-1135677;116;1895;
1084;-831757;-1140350;-831696;-1142223;178;1873;
9435;-825710;-1135273;-824047;-1136120;117;1866;
1820;-827664;-1144404;-825902;-1143873;73;1840;
125;-831046;-1144998;-829296;-1144429;72;1840;
4548;-825710;-1135273;-824085;-1136133;117;1838;
8900;-825710;-1135273;-824085;-1136133;117;1838;
7460;-835407;-1149569;-834636;-1147931;25;1811;
4617;-829262;-1134955;-827650;-1135777;117;1810;
615;-827803;-1144365;-827499;-1142583;9;1807;
3416;-834759;-1149106;-833093;-1149701;109;1768;
2030;-825846;-1134854;-824233;-1135550;113;1757;
2876;-825758;-1134868;-824170;-1135614;115;1754;
8098;-825796;-1134880;-824220;-1135588;114;1727;
2645;-835382;-1149519;-834623;-1147969;26;1725;
8513;-825758;-1134868;-824208;-1135626;116;1725;
4532;-827544;-1141799;-827531;-1143519;179;1720;
1504;-831749;-1140894;-831661;-1142590;177;1698;
7867;-835356;-1149468;-834636;-1147931;25;1698;
5063;-829313;-1134929;-827801;-1135700;117;1697;
687;-831272;-1141454;-830753;-1143052;162;1680;
6747;-831247;-1141404;-830728;-1143002;162;1680;
3659;-825808;-1134842;-824321;-1135536;115;1641;
10015;-830128;-1147307;-829621;-1148867;162;1640;
6247;-831783;-1140400;-831720;-1142020;177;1620;
9387;-825708;-1134893;-824258;-1135600;115;1612;
10336;-832571;-1135904;-832054;-1134390;18;1600;
1117;-832740;-1143151;-832361;-1141598;13;1598;
3014;-831794;-1148521;-830212;-1148344;83;1592;
931;-835254;-1149393;-834636;-1147931;22;1587;
3660;-828969;-1136248;-827583;-1137017;119;1584;
5514;-825761;-1135247;-824350;-1135966;117;1583;
8557;-829728;-1133003;-828432;-1133886;124;1568;
7457;-827703;-1144416;-826207;-1143972;73;1560;
1741;-826596;-1148599;-825112;-1148117;72;1560;
70;-831845;-1148496;-830300;-1148330;83;1553;
1556;-824609;-1136850;-823238;-1136152;63;1538;
2436;-825758;-1134868;-824371;-1135511;114;1528;
9909;-825710;-1135273;-824350;-1135966;117;1527;
4398;-835340;-1144080;-834909;-1145538;163;1520;
7880;-827664;-1144404;-826207;-1143972;73;1520;
1415;-834281;-1146175;-834181;-1144670;3;1507;
41;-828700;-1149114;-827194;-1149088;88;1505;
1800;-835343;-1149506;-834739;-1148132;23;1501;
9906;-825631;-1134869;-824309;-1135575;118;1499;
8554;-832577;-1133298;-831125;-1133625;102;1488;
8278;-834292;-1147693;-832897;-1147197;70;1480;
3866;-834254;-1147680;-832847;-1147223;72;1480;
6990;-834292;-1147693;-832885;-1147235;72;1480;
6705;-831742;-1141691;-831564;-1143147;173;1466;
643;-831731;-1141856;-831514;-1143299;171;1459;
188;-831207;-1142821;-830012;-1143652;124;1456;
2849;-826943;-1136010;-825635;-1135375;64;1453;
7131;-831817;-1141589;-831563;-1143021;169;1453;
9276;-831768;-1141741;-831513;-1143173;169;1453;
80;-834308;-1148034;-833035;-1148714;118;1442;
2853;-828918;-1136273;-827646;-1136953;118;1442;
9009;-827476;-1134627;-826383;-1135533;129;1420;
9619;-836445;-1146247;-835903;-1144936;22;1418;
644;-831771;-1140439;-831731;-1141856;178;1417;
2197;-834421;-1147945;-833186;-1148637;119;1415;
7213;-825370;-1135415;-824136;-1136107;119;1415;
3024;-834346;-1148047;-833086;-1148689;117;1414;
4990;-825631;-1134869;-824371;-1135511;117;1414;
8823;-831780;-1141703;-831538;-1143097;170;1414;
10274;-825660;-1135299;-824400;-1135941;117;1414;
126;-825879;-1144202;-824560;-1143732;70;1400;
1784;-829357;-1145795;-828026;-1145362;72;1400;
5660;-829609;-1145667;-829177;-1146998;162;1400;
7085;-826550;-1140845;-826117;-1142176;162;1400;
9212;-826219;-1140569;-825786;-1141901;162;1400;
371;-828382;-1132229;-827185;-1132934;120;1388;
565;-835256;-1147964;-834702;-1146690;23;1388;
1355;-835215;-1149254;-834661;-1147981;23;1388;
2505;-828382;-1132229;-827185;-1132934;120;1388;
8330;-827745;-1143378;-827381;-1142040;15;1386;
5511;-825669;-1134881;-824422;-1135485;115;1386;
7217;-825619;-1134907;-824371;-1135511;115;1386;
2297;-830070;-1141400;-829422;-1142619;151;1381;
6292;-824495;-1136813;-823276;-1136164;61;1381;
6706;-831770;-1140312;-831742;-1141691;178;1379;
6669;-827672;-1143733;-827485;-1142368;7;1377;
7502;-827672;-1143733;-827485;-1142368;7;1377;
6030;-827345;-1149011;-827077;-1150353;168;1369;
5803;-831809;-1140451;-831743;-1141818;177;1368;
4354;-833979;-1146329;-833829;-1144977;6;1360;
6171;-833953;-1146279;-833803;-1144926;6;1360;
3865;-834308;-1148034;-833124;-1148701;119;1358;
2298;-830565;-1141561;-829853;-1142717;148;1358;
2064;-829290;-1135258;-828674;-1134049;27;1357;
8232;-825048;-1148054;-824432;-1146844;27;1357;
3474;-830367;-1147090;-829553;-1148172;143;1353;
1587;-832879;-1139747;-832767;-1138407;4;1344;
9462;-832249;-1133402;-830935;-1133690;102;1344;
423;-827333;-1149049;-827077;-1150353;168;1329;
4000;-831794;-1141792;-831538;-1143097;168;1329;
1399;-828286;-1144690;-827068;-1144168;66;1325;
9171;-834345;-1146238;-834183;-1144923;7;1324;
2229;-825803;-1144177;-824573;-1143693;68;1322;
7856;-827452;-1144797;-826172;-1144466;75;1322;
9532;-833300;-1150230;-832968;-1151510;165;1322;
3069;-830628;-1144862;-829373;-1144454;72;1320;
4834;-826194;-1140645;-825786;-1141901;162;1320;
3401;-831528;-1148435;-830212;-1148344;86;1319;
5324;-829657;-1141897;-829566;-1143213;176;1319;
901;-824260;-1145821;-823820;-1144585;19;1312;
9202;-832556;-1143848;-832426;-1145152;174;1310;
5693;-826309;-1145856;-826186;-1144554;5;1307;
7923;-824828;-1142389;-824705;-1141087;5;1307;
7292;-828331;-1132255;-827223;-1132947;121;1305;
10227;-832531;-1143924;-832528;-1145227;179;1302;
4550;-825859;-1134816;-824674;-1135357;114;1302;
5716;-836406;-1146108;-835865;-1144923;24;1302;
