ID; A.X; A.Y; B.X; B.Y; A; L
3539;-832702;-1143149;-832162;-1140967;13;2248;
1032;-835035;-1149022;-833060;-1149693;108;2085;
3540;-831741;-1140917;-831618;-1142926;176;2012;
3960;-835860;-1140037;-833911;-1140335;98;1971;
395;-831734;-1141022;-831638;-1142852;177;1833;
614;-831689;-1141599;-831611;-1143372;177;1774;
3114;-831768;-1140872;-831630;-1142622;175;1755;
3325;-835125;-1131285;-833764;-1132388;129;1751;
833;-831655;-1141701;-831626;-1143422;179;1720;
3;-834743;-1149114;-833116;-1149675;109;1720;
3326;-825614;-1134889;-824125;-1135631;116;1663;
618;-835295;-1149451;-834631;-1147927;23;1662;
2254;-829334;-1134905;-827865;-1135675;117;1658;
3757;-825965;-1138330;-824379;-1138772;105;1646;
1;-834850;-1149558;-833270;-1150017;106;1645;
195;-832680;-1142935;-832257;-1141345;14;1645;
1631;-834687;-1149147;-833133;-1149688;109;1644;
3119;-835267;-1149384;-834625;-1147870;22;1644;
2908;-831780;-1140608;-831680;-1142246;176;1641;
3543;-835277;-1149392;-834630;-1147889;23;1636;
194;-831751;-1141175;-831633;-1142805;175;1633;
3962;-827145;-1136039;-825687;-1135387;65;1597;
193;-831259;-1139178;-831218;-1140772;178;1594;
4373;-835689;-1142599;-834639;-1143766;138;1569;
2032;-829185;-1134986;-827794;-1135697;117;1562;
3116;-832656;-1142959;-832281;-1141443;13;1561;
3961;-825713;-1134887;-824285;-1135502;113;1555;
4371;-829258;-1133422;-827879;-1134118;116;1544;
1229;-827088;-1136032;-825690;-1135391;65;1538;
399;-835274;-1149377;-834655;-1147981;23;1527;
839;-835277;-1149391;-834654;-1148002;24;1522;
1228;-829814;-1133004;-828545;-1133841;123;1519;
4159;-832649;-1133872;-831173;-1134218;103;1515;
400;-834562;-1143774;-834137;-1142320;16;1514;
396;-832642;-1142813;-832256;-1141351;14;1512;
1427;-827106;-1136019;-825719;-1135416;66;1512;
1430;-831738;-1148461;-830236;-1148338;85;1507;
4165;-829109;-1135064;-827756;-1135718;115;1503;
2256;-829258;-1133434;-827925;-1134124;117;1501;
2474;-829239;-1134962;-827914;-1135666;117;1500;
4582;-834372;-1143306;-833932;-1141877;17;1495;
1431;-825606;-1134902;-824246;-1135524;114;1495;
2479;-835673;-1142630;-834663;-1143730;137;1493;
3120;-830279;-1141732;-829998;-1143196;169;1490;
6;-825641;-1134901;-824291;-1135526;114;1487;
1234;-824339;-1146323;-824002;-1144880;13;1481;
3966;-831227;-1142850;-829975;-1143638;122;1479;
1035;-825599;-1134905;-824268;-1135550;115;1479;
1825;-834520;-1149211;-833129;-1149705;109;1476;
2693;-831756;-1141782;-831539;-1143238;171;1472;
2257;-827537;-1143439;-827529;-1141970;0;1469;
834;-825878;-1138350;-824468;-1138754;106;1467;
1632;-825583;-1134908;-824262;-1135547;115;1467;
620;-831245;-1139137;-831206;-1140603;178;1466;
402;-830278;-1141741;-830008;-1143183;169;1466;
3964;-835266;-1149286;-834647;-1147959;25;1464;
3963;-829788;-1133015;-828576;-1133806;123;1447;
2031;-832461;-1133945;-831055;-1134273;103;1443;
1828;-825498;-1134934;-824221;-1135578;116;1429;
4810;-832868;-1139997;-832841;-1138568;1;1429;
4163;-825505;-1135392;-824249;-1136072;118;1428;
7;-831690;-1148457;-830267;-1148348;85;1427;
2043;-835732;-1142565;-834769;-1143611;137;1421;
3124;-834322;-1146158;-834194;-1144742;5;1421;
3959;-828060;-1144551;-826709;-1144114;72;1419;
617;-834563;-1143837;-834190;-1142469;15;1418;
2477;-834362;-1146341;-834215;-1144931;5;1417;
2909;-832635;-1142842;-832266;-1141475;15;1415;
3327;-825432;-1135420;-824203;-1136110;119;1409;
4590;-825742;-1135279;-824484;-1135911;116;1408;
3762;-835271;-1149349;-834715;-1148057;23;1406;
4375;-827541;-1143321;-827534;-1141916;0;1405;
199;-835188;-1149254;-834660;-1147953;22;1403;
4;-827104;-1136011;-825816;-1135456;66;1402;
3763;-831357;-1148483;-829975;-1148250;80;1401;
4815;-831749;-1141790;-831535;-1143175;171;1401;
