ID; A.X; A.Y; B.X; B.Y; A; L
13178;-455409;-1302465;-455409;-1298465;0;4000;
22169;-455409;-1302565;-455409;-1298565;0;4000;
13651;-476009;-1271865;-475209;-1267965;11;3981;
17003;-491009;-1283765;-490209;-1287665;168;3981;
22693;-450309;-1258465;-446709;-1260165;115;3981;
23895;-450309;-1258465;-446709;-1260165;115;3981;
25026;-476009;-1271865;-475209;-1267965;11;3981;
7390;-484909;-1321565;-481909;-1324165;130;3969;
54;-456109;-1320365;-453309;-1323165;135;3959;
5389;-456209;-1320265;-453409;-1323065;135;3959;
8305;-471109;-1329165;-467309;-1330265;106;3956;
5395;-472009;-1319565;-468309;-1320865;109;3921;
11788;-490509;-1314565;-488109;-1317665;142;3920;
145;-467209;-1310065;-463909;-1312165;122;3911;
2766;-475909;-1271165;-475009;-1267365;13;3905;
15415;-478609;-1240565;-474709;-1240365;87;3905;
17218;-453909;-1265265;-453709;-1261365;2;3905;
22763;-503209;-1255065;-503009;-1258965;177;3905;
26285;-476009;-1271465;-475109;-1267665;13;3905;
958;-457809;-1240365;-453909;-1240465;91;3901;
2359;-473309;-1300065;-473309;-1296165;0;3900;
15649;-473309;-1300165;-473309;-1296265;0;3900;
5397;-466809;-1318565;-464209;-1321465;138;3894;
8908;-458409;-1264365;-455509;-1266965;131;3894;
10130;-488609;-1262865;-485209;-1264765;119;3894;
12466;-507809;-1262465;-505909;-1265865;150;3894;
18554;-488609;-1262865;-485209;-1264765;119;3894;
23841;-507809;-1262465;-505909;-1265865;150;3894;
11751;-492509;-1318065;-490809;-1321565;154;3891;
23136;-492509;-1318065;-490809;-1321565;154;3891;
22877;-458209;-1252565;-457409;-1256365;168;3883;
12898;-453209;-1250365;-452509;-1246565;10;3863;
13390;-501009;-1278865;-500409;-1282665;171;3847;
24771;-501009;-1278865;-500409;-1282665;171;3847;
1;-470809;-1329265;-467109;-1330265;105;3832;
8378;-472009;-1319565;-468409;-1320865;109;3827;
16888;-476009;-1292665;-473909;-1289465;33;3827;
17137;-463509;-1273665;-460809;-1270965;45;3818;
19308;-463509;-1273665;-460809;-1270965;45;3818;
17186;-495009;-1270865;-493509;-1274365;156;3807;
9309;-475409;-1240565;-471609;-1240365;86;3805;
9975;-483409;-1270465;-483309;-1274265;178;3801;
11139;-483409;-1270465;-483309;-1274265;178;3801;
15667;-455409;-1298365;-455309;-1302165;178;3801;
16478;-473209;-1253265;-471509;-1249865;26;3801;
16851;-455409;-1298365;-455309;-1302165;178;3801;
22544;-483409;-1270465;-483309;-1274265;178;3801;
26630;-473209;-1253365;-471509;-1249965;26;3801;
1665;-483309;-1267065;-483309;-1263265;0;3800;
2845;-497109;-1264665;-497109;-1260865;0;3800;
3402;-478409;-1305565;-478409;-1301765;0;3800;
3459;-473309;-1299965;-473309;-1296165;0;3800;
16821;-473309;-1300065;-473309;-1296265;0;3800;
19039;-473309;-1299965;-473309;-1296165;0;3800;
17583;-469909;-1253965;-468709;-1250365;18;3794;
19796;-469909;-1253965;-468709;-1250365;18;3794;
11368;-458209;-1252665;-457409;-1256365;167;3785;
14249;-490309;-1314765;-488009;-1317765;142;3780;
24392;-490409;-1314665;-488109;-1317665;142;3780;
9411;-491009;-1318165;-489009;-1321365;147;3773;
